Short name,Name,Alias/MPC cpde,Alternative,Suggested standard name
,Cherokeeridge Observatory,V94,,Cherokeeridge Observatory
,"Cherryvalley Observatory, Rathmolyon",I83,,"Cherryvalley Observatory, Rathmolyon"
,Chianti Polifunctional Obseratory,,,Chianti Polifunctional Obseratory
,Chibolton Observatory,,,Chibolton Observatory
,"Chicharronian 3C Observatory, Tres Cantos",Z83,,"Chicharronian 3C Observatory, Tres Cantos"
,Chichibu,369,,Chichibu
,Chico Community Observatory,,,Chico Community Observatory
,"CHILESCOPE Observatory, Rio Hurtad",W76,,"CHILESCOPE Observatory, Rio Hurtad"
,"Chinese Culture University, Taipei",P40,,"Chinese Culture University, Taipei"
,Chinle,700,,Chinle
,Chinon,B92,,Chinon
,Chions,567,,Chions
CHIPS,Cosmic Hot Interstellar Spectrometer,,,CHIPS
,Chiro Observatory,320,,Chiro Observatory
,Chirorin,383,,Chirorin
,Chiusa di Pesio,A67,,Chiusa di Pesio
,Chorzow,553,,Chorzow
,Christiania,529,,Christiania
,Chula,H71,,Chula
,Church Stretton,966,,Church Stretton
,Cima Ekar Observing Station,,,Cima Ekar Observing Station
,Cincinnati,765,,Cincinnati
,Cincinnati Observatory,,,Cincinnati Observatory
,City Observatory (Edinburgh),,,City Observatory (Edinburgh)
,"City Observatory, Calton Hill, Edinburgh",961,,"City Observatory, Calton Hill, Edinburgh"
,"City Observatory, Slany",C11,,"City Observatory, Slany"
,Clarke Observatory,,,Clarke Observatory
,"Class of 1951 Observatory (Poughkeepsie, NY)",,,"Class of 1951 Observatory (Poughkeepsie, NY)"
,"Clavier Observatory, Lora Del Rio",G10,,"Clavier Observatory, Lora Del Rio"
,"Clay Center Observatory, Brookline",I01,,"Clay Center Observatory, Brookline"
,"Clay Telescope, Harvard University",W78,,"Clay Telescope, Harvard University"
,"Clayhole Observatory, Jokela",C03,,"Clayhole Observatory, Jokela"
,Clementine,,,Clementine
CLFST,Cambridge Low Frequency Synthesis Telescope,,,CLFST
,"Climenhaga Observatory, Victoria",657,,"Climenhaga Observatory, Victoria"
,Clinton,I51,,Clinton
,"Clixby Observatory, Cleethorpes",Z99,,"Clixby Observatory, Cleethorpes"
,Cloudcroft Observatory,,,Cloudcroft Observatory
,Cluster II,,,Cluster II
,Coats Observatory,,,Coats Observatory
COBE,Cosmic Background Explorer,,,COBE
,Cobram,906,,Cobram
,Cockfield,480,,Cockfield
,Coddenham Observatory,234,,Coddenham Observatory
,Colchester,502,,Colchester
,"Collegio Romano, Rome",531,,"Collegio Romano, Rome"
,Colleverde di Guidonia,596,,Colleverde di Guidonia
,"Collins Observatory, Corning Community College",911,,"Collins Observatory, Corning Community College"
,Collm Observatory,,,Collm Observatory
,Collonges,178,,Collonges
,"Collurania Observatory, Teramo",037,,"Collurania Observatory, Teramo"
,Cologne,572,,Cologne
,Colombo University Observatory,,,Colombo University Observatory
,Comeglians,B55,,Comeglians
,"Command Module, Tempe",V02,,"Command Module, Tempe"
,Como,C13,,Como
,Complejo Astronomico El Leoncito,829,,Complejo Astronomico El Leoncito
,"Compustar Observatory, Rouen",L59,,"Compustar Observatory, Rouen"
,COMU Ulupinar Observatory,,,COMU Ulupinar Observatory
,Concordia College Observatory,,,Concordia College Observatory
,Conder Brow,978,,Conder Brow
,Conlin Hill Observatory,I07,,Conlin Hill Observatory
,Consell Observatory,,,Consell Observatory
,Constantinople Observatory of Taqi ad-Din,,,Constantinople Observatory of Taqi ad-Din
,Contern,K26,,Contern
CONTOUR,Comet Nucleus Tour,,,CONTOUR
,Conway,H43,,Conway
,Copenhagen,035,,Copenhagen
,Copenhagen University Observatory,,,Copenhagen University Observatory
,Copernicus,OAO-3,,Copernicus
,Corcaroli Observatory,A31,,Corcaroli Observatory
,"Cordell-Lorenz Observatory, Sewanee",850,,"Cordell-Lorenz Observatory, Sewanee"
,Cordoba,822,,Cordoba
,Cordoba-Bosque Alegre,821,,Cordoba-Bosque Alegre
,Cormons,A94,,Cormons
,"Corner Observatory, Durmersheim",B50,,"Corner Observatory, Durmersheim"
,Corona Borealis Observatory,N55,,Corona Borealis Observatory
CoRoT,"Convection, Rotation et Transits planetaires",,,CoRoT
,Corpus Christi,728,,Corpus Christi
,Cortina,154,,Cortina
,COS B,,,COS B
COSMOS,Cosmological Evolution Survey,,,COSMOS
,COSMOS (satellites),,,COSMOS (satellites)
,"Cosmos Observatory, Marbella",Z45,,"Cosmos Observatory, Marbella"
,"Cosmos Research Center, Encinitas",U79,,"Cosmos Research Center, Encinitas"
,"Cosmosoz Obs., Tassin la Demi Lune",A63,,"Cosmosoz Obs., Tassin la Demi Lune"
,Cote d'Azur Observatory,,,Cote d'Azur Observatory
,"Cottonwood Observatory, Ada",723,,"Cottonwood Observatory, Ada"
,Courroux,469,,Courroux
,Couvaloup de St-Cergue,A64,,Couvaloup de St-Cergue
,Cracow,055,,Cracow
,Cracow-Fort Skala,555,,Cracow-Fort Skala
,Craigie,321,,Craigie
,Crane Observatory,,,Crane Observatory
,Crawford Observatory,,,Crawford Observatory
,Crawfordville Observatory,W32,,Crawfordville Observatory
,Creighton Univeristy Observatory,,,Creighton Univeristy Observatory
,"Crescent Moon Observatory, Columbus",770,,"Crescent Moon Observatory, Columbus"
,Crespadoro,A30,,Crespadoro
,Crimean Astrophysical Observatory,,,Crimean Astrophysical Observatory
,Crimean Astrophysical Observatory,,,Crimean Astrophysical Observatory
,Crimea-Nauchnij,095,,Crimea-Nauchnij
,Crimea-Simeis,094,,Crimea-Simeis
,Crni Vrh,106,,Crni Vrh
,Crni Vrh Observatory,,,Crni Vrh Observatory
,Crolles,634,,Crolles
,"Crow Observatory, Portalegre",L82,,"Crow Observatory, Portalegre"
,Crowborough,001,,Crowborough
CRRES,Combined Release and Radiotion Effects Satellite,,,CRRES
,"CS3-DanHenge Observatory, Landers",U80,,"CS3-DanHenge Observatory, Landers"
,"CS3-Palmer Divide Station, Landers",U82,,"CS3-Palmer Divide Station, Landers"
,"CS3-Trojan Station, Landers",U81,,"CS3-Trojan Station, Landers"
,Cupillari Observatory,,,Cupillari Observatory
,Curdridge,Z91,,Curdridge
,Custer Observatory,,,Custer Observatory
,"Cuteip Remote Observatory, Changhua",P35,,"Cuteip Remote Observatory, Changhua"
,CWU-Lind Observatory,U64,,CWU-Lind Observatory
,"Cyclops Observatory, Oostkapelle",B84,,"Cyclops Observatory, Oostkapelle"
,"Cygnus Observatory, New Airesford",I63,,"Cygnus Observatory, New Airesford"
DAMPE,Dark Matter Particle Explorer,,,DAMPE
,"Danastro Observatory, Romeree",K20,,"Danastro Observatory, Romeree"
,Daniel S. Schanck Observatory,,,Daniel S. Schanck Observatory
,"Danish Telescope, La Silla",W74,,"Danish Telescope, La Silla"
,Danzig,A51,,Danzig
,"Dark Rosanne Obs., Middlefield",H98,,"Dark Rosanne Obs., Middlefield"
,"Dark Sky New Mexico, Animas",V16,,"Dark Sky New Mexico, Animas"
,"Dark Sky Observatory (Phillips Gap, NC)",,,"Dark Sky Observatory (Phillips Gap, NC)"
,"Dark Sky Observatory, Boone",W38,,"Dark Sky Observatory, Boone"
,Darling's Observatory,,,Darling's Observatory
,Darmstadt,A26,,Darmstadt
,Darwin,,,Darwin
,Daventry Observatory,456,,Daventry Observatory
,"David Dunlap Observatory, Richmond Hill",779,,"David Dunlap Observatory, Richmond Hill"
,David Scholl Observatory,,,David Scholl Observatory
,Dawn,,,Dawn
,Dayton,838,,Dayton
,Dearborn Observatory,768,,Dearborn Observatory
,"Dearborn Observatory, Evanston",756,,"Dearborn Observatory, Evanston"
,Deep Impact,,,Deep Impact
,"Deep Sky Observatorium, Bad Bentheim",B60,,"Deep Sky Observatorium, Bad Bentheim"
,"Deep Sky Observatory Collaborative, Pier 5",V35,,"Deep Sky Observatory Collaborative, Pier 5"
,"Deep Sky West Observatory, Rowe",V28,,"Deep Sky West Observatory, Rowe"
,Deep Space 1,,,Deep Space 1
,"Deerlick Observatory, Crawfordville",W31,,"Deerlick Observatory, Crawfordville"
,"DeKalb Observatory, Auburn",H63,,"DeKalb Observatory, Auburn"
DENIS,Deep Near Infrared Survey of the Southern Sky,,,DENIS
,Deokheung Optical Astronomy Observatory,P66,,Deokheung Optical Astronomy Observatory
,Dertingen,624,,Dertingen
,Desert Beaver Observatory,919,,Desert Beaver Observatory
,Desert Eagle Observatory,333,,Desert Eagle Observatory
,"Desert Moon Observatory, Las Cruces",448,,"Desert Moon Observatory, Las Cruces"
,"Desert Wanderer Observatory, El Centro",G78,,"Desert Wanderer Observatory, El Centro"
,"DeSS Deimos Sky Survey, Niefla Mountain",Z66,,"DeSS Deimos Sky Survey, Niefla Mountain"
,Detmold,638,,Detmold
,Detroit Observatory,,,Detroit Observatory
,Dettelbach Vineyard Observatory,K87,,Dettelbach Vineyard Observatory
,Dettenhausen,G24,,Dettenhausen
,"Digital Stargate Observatory, Manciano",K89,,"Digital Stargate Observatory, Manciano"
,"Dilbert Observatory, Forest Grove",G57,,"Dilbert Observatory, Forest Grove"
,"Dingle Observatory, Montgomery",J18,,"Dingle Observatory, Montgomery"
,"Discovery Observatory, Caruaru",Y40,,"Discovery Observatory, Caruaru"
DMSP,Defense Meteorological Satellites Program,,,DMSP
,"Doc Greiner Research Observatory, Janesvillle",H26,,"Doc Greiner Research Observatory, Janesvillle"
,"Dogsheaven Observatory, Brasilia",X87,,"Dogsheaven Observatory, Brasilia"
,Dolomites Astronomical Observatory,C81,,Dolomites Astronomical Observatory
,Dome C (Antartica),,,Dome C (Antartica)
,Dominion Astrophiscal Observatory,,,Dominion Astrophiscal Observatory
,Dominion Observatory (Ottawa),,,Dominion Observatory (Ottawa)
,"Dominion Observatory, Ottawa",790,,"Dominion Observatory, Ottawa"
,Dominion Radio Astrophysical Observatory,,,Dominion Radio Astrophysical Observatory
,"Don Astronomical Observatory, Rostov-on-Don",C80,,"Don Astronomical Observatory, Rostov-on-Don"
,"Doyan Rose Observatory, Indianapolis",744,,"Doyan Rose Observatory, Indianapolis"
,"Drake University, Des Moines",742,,"Drake University, Des Moines"
,"DreamSky Observatory, Lisnyky",L35,,"DreamSky Observatory, Lisnyky"
,"Drebach-South Observatory, Windhoek",L29,,"Drebach-South Observatory, Windhoek"
,Dresden,639,,Dresden
,"Dridri Observatory, Franciacorta",L05,,"Dridri Observatory, Franciacorta"
,Driesen,284,,Driesen
,"Drum Hill Station, Chelmsford",835,,"Drum Hill Station, Chelmsford"
DSS,Digitized Sky Survey,,,DSS
,"Dudley Observatory, Albany (after 1893)",296,,"Dudley Observatory, Albany (after 1893)"
,"Dudley Observatory, Albany (before 1893)",793,,"Dudley Observatory, Albany (before 1893)"
,Dun Echt,972,,Dun Echt
,Dunboyne Castle Observatory,Z67,,Dunboyne Castle Observatory
,Dunsink Observatory,982,,Dunsink Observatory
,Durham University Observatory,995,,Durham University Observatory
,Durtal,949,,Durtal
,Dushanbe,191,,Dushanbe
,Dusseldorf-Bilk,018,,Dusseldorf-Bilk
DXS,Diffuse X-ray Spectrometer,,,DXS
,Dyer Observatory,,,Dyer Observatory
,Dynic Astronomical Observatory,402,,Dynic Astronomical Observatory
,Earch Observing 3,,,Earch Observing 3
,"Earl Hill Observatory, Trinity Beach",E05,,"Earl Hill Observatory, Trinity Beach"
,Earls Barton,498,,Earls Barton
,Earth Observing 1,,,Earth Observing 1
,"East Rome Observatory, Rome",L00,,"East Rome Observatory, Rome"
,"Eastern Illinois University Obs., Charleston",H20,,"Eastern Illinois University Obs., Charleston"
,Eastfield,984,,Eastfield
,"Eastwood Observatory, Leigh on Sea",K02,,"Eastwood Observatory, Leigh on Sea"
,Ebersheim,K36,,Ebersheim
,"ECCCO Observatory, Bosque Alegre",I25,,"ECCCO Observatory, Bosque Alegre"
,Eden Astronomical Observatory,N31,,Eden Astronomical Observatory
,"Eden Observatory, Banham",K05,,"Eden Observatory, Banham"
,"Edmund Kline Observatory, Deer Trail",H05,,"Edmund Kline Observatory, Deer Trail"
,Edwards Raven Observatory,453,,Edwards Raven Observatory
,Effelsberg 100-m Radio Telescope,,,Effelsberg 100-m Radio Telescope
,Ege University Observatory,,,Ege University Observatory
,"EHB01 Observatory, Engelhardsberg",K77,,"EHB01 Observatory, Engelhardsberg"
,Einstein Observatory,,,Einstein Observatory
,EISCAT Tromso UHF,259,,EISCAT Tromso UHF
,El Berrueco,I98,,El Berrueco
,El Boalo,J21,,El Boalo
,"El Condor Observatory, Cordoba",I21,,"El Condor Observatory, Cordoba"
,El Guijo Observatory,J27,,El Guijo Observatory
,El Leoncito,808,,El Leoncito
,El Maestrat,J19,,El Maestrat
,"El Manzanillo Observatory, Puerto de la Torre",Z40,,"El Manzanillo Observatory, Puerto de la Torre"
,Elche,I57,,Elche
,Eldagsen,573,,Eldagsen
,"Elena Remote Observatory, San Pedro de Atacama",G32,,"Elena Remote Observatory, San Pedro de Atacama"
,"Elephant Head Obsevatory, Sahuarita",G35,,"Elephant Head Obsevatory, Sahuarita"
,Elgin,V12,,Elgin
,Elginfield Observatory,440,,Elginfield Observatory
,"Ellinogermaniki Agogi Observatory, Pallini",C68,,"Ellinogermaniki Agogi Observatory, Pallini"
,Ellis Observatory,,,Ellis Observatory
,"Elsterland Observatory, Jessnigk",K59,,"Elsterland Observatory, Jessnigk"
,Embry-Riddle Observatory,,,Embry-Riddle Observatory
,"Emerald Lane Observatory, Decatur",843,,"Emerald Lane Observatory, Decatur"
,"Emmy Observatory, New Paltz",865,,"Emmy Observatory, New Paltz"
,"Engelhardt Observatory, Dresden",601,,"Engelhardt Observatory, Dresden"
,"Engelhardt Observatory, Kasan",136,,"Engelhardt Observatory, Kasan"
,"Engelhardt Observatory, Zelenchukskaya Station",114,,"Engelhardt Observatory, Zelenchukskaya Station"
,Equator-S,,,Equator-S
,Eremo di Tizzano,588,,Eremo di Tizzano
,Erfurt,K79,,Erfurt
,"Eridanus Observatory, Langelsheim",A27,,"Eridanus Observatory, Langelsheim"
,"ESA Cebreros TBT Observatory, Cebreros",Z58,,"ESA Cebreros TBT Observatory, Cebreros"
,"ESA Optical Ground Station, Tenerife",J04,,"ESA Optical Ground Station, Tenerife"
,"Eschenberg Observatory, Winterthur",151,,"Eschenberg Observatory, Winterthur"
,Eskdalemuir Observatory,,,Eskdalemuir Observatory
ESO,European Southern Observatory,,,ESO
ESRO 2B,European Space Research Organisation 2B,,,ESRO 2B
,Essen,636,,Essen
,Etscorn Observatory,719,,Etscorn Observatory
,Etters,832,,Etters
,Etyek,A52,,Etyek
,Euclid,,,Euclid
,"Eurac Observatory, Bolzano",C62,,"Eurac Observatory, Bolzano"
EURECA,European Retrievable Carrier,,,EURECA
,European Extermely Large Telescope,,,European Extermely Large Telescope
,European Gravitational Observatory,,,European Gravitational Observatory
,"European Southern Obs., La Silla--ASTROVIRTEL",I03,,"European Southern Obs., La Silla--ASTROVIRTEL"
,"European Southern Observatory, La Silla",809,,"European Southern Observatory, La Silla"
,"European Southern Observatory, La Silla-DSS",262,,"European Southern Observatory, La Silla-DSS"
EUVE,Extreme Ultraviolet Explorer,,,EUVE
,Evelyn L. Egan Observatory,H72,,Evelyn L. Egan Observatory
,Everstar Observatory,849,,Everstar Observatory
,Evpatoria,255,,Evpatoria
,Ex Nihilo Observatory,W28,,Ex Nihilo Observatory
EXOSAT,European X-ray Observatory Satellite,,,EXOSAT
,"Experimenta Observatory, Heilbronn",G22,,"Experimenta Observatory, Heilbronn"
,Explorer 11,,,Explorer 11
,Eygalayes,B44,,Eygalayes
,"F.-X. Bagnoud Observatory, St-Luc",175,,"F.-X. Bagnoud Observatory, St-Luc"
,Fabra Observatory,,,Fabra Observatory
,"Fabra Observatory, Barcelona",006,,"Fabra Observatory, Barcelona"
,"Fabra Observatory, Montsec",G27,,"Fabra Observatory, Montsec"
,Fair Oaks Ranch,725,,Fair Oaks Ranch
,Falkensee,542,,Falkensee
FAME,Fullsky Astrometric Mapping Explorer,,,FAME
,Fan Mountain Observatory,I18,,Fan Mountain Observatory
,Far Ultraviolet Camera/Spectorgraph (UVC),,,Far Ultraviolet Camera/Spectorgraph (UVC)
,Farm Cove,E85,,Farm Cove
,"Farpoint Observatory, Eskridge",734,,"Farpoint Observatory, Eskridge"
,Farra d'Isonzo,595,,Farra d'Isonzo
FAST,500 meter Aperture Spherical Radio Telescope (Duyun China),,,FAST
FAUST,Far Ultraviolet Space Telescope,,,FAUST
,Fayetteville,V81,,Fayetteville
,Felix Aguilar Observatory,,,Felix Aguilar Observatory
,Felliscopio Observatory,K84,,Felliscopio Observatory
,Fenwick Observatory,H87,,Fenwick Observatory
Fermi,Fermi Gamma-ray Space Telescope,GLAST,,Fermi
,Fernbank Observatory,,,Fernbank Observatory
,Fiamene,B23,,Fiamene
,Fiby,C08,,Fiby
,Fick Observatory,,,Fick Observatory
,"Figl Observatory, Vienna",562,,"Figl Observatory, Vienna"
,Filzi School Observatory,D12,,Filzi School Observatory
,Fiore Observatory,K57,,Fiore Observatory
FIRST,Faint Images of the Radio Sky at Twenty-centimeters,,,FIRST
,Fitchburg,823,,Fitchburg
,Fitz-Randolph Observatory,785,,Fitz-Randolph Observatory
,Five College Radio Astronomy Observatory,,,Five College Radio Astronomy Observatory
,"Flammarion Observatory, Juvisy",285,,"Flammarion Observatory, Juvisy"
,Flarestar Observatory,,,Flarestar Observatory
,"Flarestar Observatory, San Gwann",171,,"Flarestar Observatory, San Gwann"
,Flint,840,,Flint
,"Flower and Cook Observatory, Philadelphia",791,,"Flower and Cook Observatory, Philadelphia"
,FOAH Observatory,V23,,FOAH Observatory
,Foggy Bottom Observatory,776,,Foggy Bottom Observatory
,Foothill Observatory,,,Foothill Observatory
,Ford Observatory,,,Ford Observatory
,"Ford Observatory, Ithaca",845,,"Ford Observatory, Ithaca"
,"Ford Observatory, Wrightwood",674,,"Ford Observatory, Wrightwood"
,Fort Pius Observatory,A75,,Fort Pius Observatory
,"Fosseway Observatoy, Stratton-on-the-Fosse",Z88,,"Fosseway Observatoy, Stratton-on-the-Fosse"
,Fountain Hills,678,,Fountain Hills
,"Four Winds Observatory, Lake Leelanau",762,,"Four Winds Observatory, Lake Leelanau"
,Fox Observatory,,,Fox Observatory
,Fox Park Pulbic Observatory,,,Fox Park Pulbic Observatory
,Foxfire Village,W46,,Foxfire Village
,Francis Marion University Observatory,,,Francis Marion University Observatory
,Francisquito Observatory,G70,,Francisquito Observatory
,Frankfurt,523,,Frankfurt
,Frasnes-Lez-Anvaing,C18,,Frasnes-Lez-Anvaing
,Frasso Sabino,157,,Frasso Sabino
,Freconrupt,K97,,Freconrupt
,Fremont Peak Observatory,,,Fremont Peak Observatory
,Frignano,146,,Frignano
,"Frog Rock Observatory, Mudgee",E11,,"Frog Rock Observatory, Mudgee"
,"FRoST, Anderson Mesa",V04,,"FRoST, Anderson Mesa"
,Frosty Cold Observatory,I23,,Frosty Cold Observatory
,Frosty Drew Observatory,,,Frosty Drew Observatory
,Fuensanta de Martos,I88,,Fuensanta de Martos
,Fuertes Observatory,,,Fuertes Observatory
,Fujieda,898,,Fujieda
,Fukuchiyama and Kannabe,903,,Fukuchiyama and Kannabe
,"Furnace Brook Observatory, Cranston",836,,"Furnace Brook Observatory, Cranston"
,Furukawa,863,,Furukawa
FUSE,Far Ultraviolet Spectroscopic Explorer,,,FUSE
,"Fushan Observatory, Mt Shaohua",G26,,"Fushan Observatory, Mt Shaohua"
,G. C. Gloriosi Astronomical Observatory,229,,G. C. Gloriosi Astronomical Observatory
,G. Colombo Astronomical Observatory,435,,G. Colombo Astronomical Observatory
,"G. Pascoli Observatory, Castelvecchio Pascoli",K63,,"G. Pascoli Observatory, Castelvecchio Pascoli"
,Gaertringen,D10,,Gaertringen
,Gaia,,,Gaia
,Gaia,258,,Gaia
,Gaisberg Observatory,B21,,Gaisberg Observatory
,Galati Observatory,C73,,Galati Observatory
,"Galaxy Blues Observatory, Gatineau",H89,,"Galaxy Blues Observatory, Gatineau"
,Galaxy Tibet YBJ Observatory,O02,,Galaxy Tibet YBJ Observatory
GALEX,Galaxy Evolution Explorer,,,GALEX
,"Galhassin Robotic Telescope, Isnello",L34,,"Galhassin Robotic Telescope, Isnello"
,Galileo,,,Galileo
,Galileo Galilei Observatory,X31,,Galileo Galilei Observatory
,Galleywood,477,,Galleywood
,Gamma,French/russion,,Gamma
,Ganda di Aviatico,A36,,Ganda di Aviatico
,Gandia,962,,Gandia
,Gaocheng Astronomical Observatory,,,Gaocheng Astronomical Observatory
GAP,Gamma-Ray Burst Polarimeter,,,GAP
,Garching Observatory,214,,Garching Observatory
,"Gartensternwarte Schafsweide, Sehlde",L38,,"Gartensternwarte Schafsweide, Sehlde"
,Gauribidanur Radio Observatory,,,Gauribidanur Radio Observatory
,Gauteng,L24,,Gauteng
GBT,Green Bank Telescope,,,GBT
,Gedney House Observatory,I70,,Gedney House Observatory
,Geel,626,,Geel
GEETEE,Gauribidanur Telescope,,,GEETEE
,Gehrden,A42,,Gehrden
,Geisei,372,,Geisei
,Gekko,888,,Gekko
,Gelenau,B32,,Gelenau
,Gemeaux Observatory,818,,Gemeaux Observatory
Gemini,Gemini Observatory,,,Gemini
,"Gemini South Observatory, Cerro Pachon",I11,,"Gemini South Observatory, Cerro Pachon"
,Genesis,,,Genesis
,Geneva (before 1967),189,,Geneva (before 1967)
,Geneva (from 1967),517,,Geneva (from 1967)
,Genoa,974,,Genoa
,GenShtab Observatory,L50,,GenShtab Observatory
,Geocentric,500,,Geocentric
,Geocentric Occultation Observation,244,,Geocentric Occultation Observation
,"George Observatory, Needville",735,,"George Observatory, Needville"
,"Georgia College Observatory, Milledgeville",W30,,"Georgia College Observatory, Milledgeville"
,Geotail,,,Geotail
,Gettysburg College Observatory,842,,Gettysburg College Observatory
,Gevelsberg,K58,,Gevelsberg
,"Geyserland Observatory, Pukehangi",E89,,"Geyserland Observatory, Pukehangi"
,"Ghezz Observatory, Leontica",D08,,"Ghezz Observatory, Leontica"
,GiaGa Observatory,203,,GiaGa Observatory
,Gieres,B83,,Gieres
,Giesing,116,,Giesing
,Gifford Observatory,,,Gifford Observatory
,"Gimhae Astronomical Observatory, Uhbang-dong",D57,,"Gimhae Astronomical Observatory, Uhbang-dong"
,Ginga,,,Ginga
,"GINOP-KHK, Piszkesteto",K88,,"GINOP-KHK, Piszkesteto"
,Girawali Observatory,,,Girawali Observatory
,Gissar,190,,Gissar
,Giuseppe Piazzi Observatory,C63,,Giuseppe Piazzi Observatory
,Givatayim Observatory,137,,Givatayim Observatory
,Glasgow,988,,Glasgow
,Glen D. Riley Observatory,,,Glen D. Riley Observatory
,Glendora,U76,,Glendora
,"Glenlea Astronomical Observatory, Winnipeg",729,,"Glenlea Astronomical Observatory, Winnipeg"
,"Glyn Marsh Observatory, Douglas",Z30,,"Glyn Marsh Observatory, Douglas"
GMRT,Giant Metrewave Radio Telescope,,,GMRT
,Gnevsdorf,C67,,Gnevsdorf
,Gnosca,143,,Gnosca
,Goat Mountain Astronomical Research Station,G79,,Goat Mountain Astronomical Research Station
,Go-Chome and Kobe-Suma,904,,Go-Chome and Kobe-Suma
,Godalming,994,,Godalming
,Godlee Observatory,,,Godlee Observatory
,Goethe Link Observatory,,,Goethe Link Observatory
,Goethe Link Observatory,760,,Goethe Link Observatory
,Golden Ears Observatory,U55,,Golden Ears Observatory
,Golden Hill Observatory,J77,,Golden Hill Observatory
,Goldendale Observatory,,,Goldendale Observatory
,"Goldstone DSS 13, Fort Irwin",252,,"Goldstone DSS 13, Fort Irwin"
,"Goldstone DSS 14, Fort Irwin",253,,"Goldstone DSS 14, Fort Irwin"
,"Goldstone DSS 25, Fort Irwin",257,,"Goldstone DSS 25, Fort Irwin"
,Golosseevo-Kiev,083,,Golosseevo-Kiev
,Goodricke-Pigott Observatory,683,,Goodricke-Pigott Observatory
GOODS,Great Observatories Origins Deep Survey,,,GOODS
,Goodsell Observatory,,,Goodsell Observatory
,Goodsell Observatory,741,,Goodsell Observatory
,Gorgonzola,K23,,Gorgonzola
,Gornergrat (HFSJG),,,Gornergrat (HFSJG)
,"Gothers Observatory, St. Dennis",J03,,"Gothers Observatory, St. Dennis"
,Gottingen,528,,Gottingen
,Gottolengo,574,,Gottolengo
,"Gran Telescopio Canarias, Roque de los Muchachos",Z18,,"Gran Telescopio Canarias, Roque de los Muchachos"
,Granat,,,Granat
,"Grange Observatory, Bussoleno",476,,"Grange Observatory, Bussoleno"
,Grant O. Gale Observatory,,,Grant O. Gale Observatory
,Grantham,942,,Grantham
,Granville,825,,Granville
,"Grasslands Observatory, Tucson",651,,"Grasslands Observatory, Tucson"
,Gravesend,A00,,Gravesend
,Gravina in Puglia,K73,,Gravina in Puglia
,Gravity Probe B,,,Gravity Probe B
,Graz,580,,Graz
,Great Shefford,J95,,Great Shefford
,Green Bank,256,,Green Bank
,Green Island Observatory,B34,,Green Island Observatory
,Green Point Observatory,,,Green Point Observatory
,"Greenmoor Observatory, Woodcote",Z54,,"Greenmoor Observatory, Woodcote"
,Greens Norton,967,,Greens Norton
,Greenwich,000,,Greenwich
,"Greiner Research Observatory, Verona",H51,,"Greiner Research Observatory, Verona"
,Grems Timmons Observatories,H37,,Grems Timmons Observatories
,Grenfell Observatory,,,Grenfell Observatory
,Gretz-Armainvilliers,A07,,Gretz-Armainvilliers
,Griffin Hunter Observatory,449,,Griffin Hunter Observatory
,Griffith Observatory,,,Griffith Observatory
GRISP,Indo-Soviet Collaborative Programme in Gamma Ray Astronomy,,,GRISP
,Grorudalen Optical Observatory,238,,Grorudalen Optical Observatory
,Grosshabersdorf,A34,,Grosshabersdorf
,Groszschwabhausen,134,,Groszschwabhausen
,"Grove Creek Observatory, Trunkey",E16,,"Grove Creek Observatory, Trunkey"
,"GSHS Observatory, Suwon",P64,,"GSHS Observatory, Suwon"
,Guadarrama Observatory,458,,Guadarrama Observatory
,Gualba Observatory,442,,Gualba Observatory
,Guernanderf,I60,,Guernanderf
,"Guidestar Observatory, Weinheim",A17,,"Guidestar Observatory, Weinheim"
,Guido Ruggieri Observatory,226,,Guido Ruggieri Observatory
,Guillermo Haro Observatory,,,Guillermo Haro Observatory
,Guimar,I82,,Guimar
,Guirguillano,J81,,Guirguillano
,Guitalens,148,,Guitalens
,Gumma Astronomical Observatory,D80,,Gumma Astronomical Observatory
,"Gwen Observatory, San Francesco al Campo",K52,,"Gwen Observatory, San Francesco al Campo"
,"Haagaar Observatory, Eina",206,,"Haagaar Observatory, Eina"
,Hadano,355,,Hadano
,Hagen Observatory,607,,Hagen Observatory
,Hakucho,,,Hakucho
HALCA,Highly Advanced Laboratory for communications and Astronomy,,,HALCA
,HALCA,MUSES-B,JAXA VLBI Satellite,HALCA
,Hale Telescope,,,Hale Telescope
,Haleakala Observatory,,,Haleakala Observatory
,Haleakala-AMOS,608,,Haleakala-AMOS
,Haleakala-Faulkes Telescope North,F65,,Haleakala-Faulkes Telescope North
,Haleakala-LCO Clamshell #3,T03,,Haleakala-LCO Clamshell #3
,Haleakala-LCO OGG B #2,T04,,Haleakala-LCO OGG B #2
,Haleakala-NEAT/GEODSS,566,,Haleakala-NEAT/GEODSS
,Hallet Cove,D84,,Hallet Cove
,Halley Observatory,,,Halley Observatory
,HaloSat,,,HaloSat
,"Halstead Observatory, Princeton",H80,,"Halstead Observatory, Princeton"
,Hamamatsu-Yuto,379,,Hamamatsu-Yuto
,Hamburg (before 1909),516,,Hamburg (before 1909)
,Hamburg Observatory,,,Hamburg Observatory
,Hamburg-Bergedorf,029,,Hamburg-Bergedorf
,Hamburg-Georgswerder,631,,Hamburg-Georgswerder
,Hamburg-Himmelsmoor,637,,Hamburg-Himmelsmoor
,Hankasalmi Observatory,A91,,Hankasalmi Observatory
,"Happy Valley, Wellington",484,,"Happy Valley, Wellington"
